id,price_doc
30474,6040835.58
30475,8072036.41
30476,5940948.42
30477,6161525.25
30478,5165647.97
30479,8920643.02
30480,4517640.13
30481,4484149.79
30482,4452378.21
30483,5103473.30
30484,6818472.29
30485,5165647.97
30486,4380338.51
30487,4859770.91
30488,5991468.80
30489,5733213.28
30490,20681380.38
30491,17270791.38
30492,6479018.41
30493,17013396.50
30494,7466579.12
30495,11965487.10
30496,10249579.53
30497,8536566.56
30498,4470249.75
30499,8412632.80
30500,12081275.39
30501,7050500.42
30502,3197661.73
30503,7293729.13
30504,6118640.07
30505,11947502.76
30506,3599548.27
30507,5199904.20
30508,5653706.70
30509,8222059.38
30510,9992871.23
30511,6894579.53
30512,7074880.67
30513,4517640.13
30514,3879556.64
30515,9888256.13
30516,6040301.06
30517,11408675.00
30518,7600424.26
30519,5094951.31
30520,6880493.26
30521,6131300.05
30522,8854200.83
30523,6544741.23
30524,9723243.62
30525,12025646.46
30526,5147790.38
30527,5166345.02
30528,5826886.16
30529,6719079.52
30530,6728615.96
30531,15164881.89
30532,5082518.18
30533,10257065.01
30534,7466579.12
30535,9923635.99
30536,5308501.63
30537,12216007.97
30538,5815299.18
30539,12096978.41
30540,9992871.23
30541,6865137.10
30542,2178262.18
30543,5961180.22
30544,7588149.51
30545,9528959.10
30546,4609345.43
30547,10141804.83
30548,4406335.12
30549,5374536.03
30550,11264880.92
30551,5568284.27
30552,2037000.29
30553,6873371.44
30554,11599788.00
30555,6433686.24
30556,8920643.02
30557,9528962.75
30558,8618998.56
30559,7202412.53
30560,6205001.62
30561,7334557.79
30562,12123935.09
30563,4943597.52
30564,7163304.00
30565,7793985.09
30566,7304808.65
30567,2178262.18
30568,11203907.28
30569,8612039.07
30570,6820505.11
30571,8029700.29
30572,5147790.38
30573,6818472.29
30574,6485010.41
30575,8864100.15
30576,5222503.35
30577,5082124.57
30578,3599548.27
30579,6939041.78
30580,6005737.02
30581,5874506.19
30582,10585782.48
30583,7466579.12
30584,5020326.47
30585,4279626.12
30586,9306278.72
30587,6466881.96
30588,7756755.25
30589,7285352.31
30590,13455813.49
30591,4656248.54
30592,6879967.40
30593,10249579.53
30594,9111152.90
30595,5972431.36
30596,6566061.65
30597,6818472.29
30598,10138637.94
30599,10839502.65
30600,5591944.66
30601,6049443.30
30602,2178262.18
30603,13444714.72
30604,4710997.06
30605,7027202.11
30606,13220609.15
30607,7394201.39
30608,8697781.95
30609,5793944.69
30610,2948220.04
30611,5653706.70
30612,7402853.11
30613,8407896.78
30614,19442002.31
30615,7332175.60
30616,5653706.70
30617,7280030.94
30618,5303047.02
30619,4804863.90
30620,2887640.18
30621,10226653.22
30622,9605673.79
30623,6119516.18
30624,7038172.21
30625,8617097.69
30626,7447167.06
30627,8526449.65
30628,6818472.29
30629,5223833.10
30630,4932752.77
30631,6369413.96
30632,3931092.64
30633,6018491.91
30634,11563285.04
30635,9992871.23
30636,5586988.43
30637,9992871.23
30638,6672213.91
30639,9783418.95
30640,4701429.58
30641,8224283.93
30642,6963045.79
30643,7719144.45
30644,10138637.94
30645,7826085.35
30646,6208716.75
30647,5395351.09
30648,26596170.48
30649,2893121.87
30650,4994169.41
30651,3599548.27
30652,4701429.58
30653,7438936.15
30654,4574143.87
30655,13168847.82
30656,4095215.47
30657,6541997.98
30658,9656331.93
30659,5279957.17
30660,8509423.99
30661,6153977.02
30662,9217357.32
30663,18784994.61
30664,14342627.56
30665,5793944.69
30666,2600688.03
30667,4561001.79
30668,9013680.37
30669,5373415.04
30670,2801112.29
30671,8485928.25
30672,14161072.04
30673,10599839.71
30674,11033415.76
30675,2178262.18
30676,7942661.27
30677,4754282.24
30678,21105682.93
30679,7484948.47
30680,5852319.61
30681,2275298.06
30682,8448545.55
30683,10249369.04
30684,6298566.90
30685,8581197.35
30686,9888256.13
30687,5165647.97
30688,5051064.71
30689,14815679.98
30690,26310889.35
30691,4758450.43
30692,6728090.84
30693,12016401.08
30694,7484333.70
30695,7303506.92
30696,7530689.95
30697,12512527.47
30698,8310984.95
30699,6143347.21
30700,5147790.38
30701,10138637.94
30702,6963686.37
30703,4037046.42
30704,11988185.21
30705,9259863.24
30706,24068867.00
30707,4067682.43
30708,13970179.20
30709,6404959.09
30710,7586530.32
30711,4568662.18
30712,4396888.58
30713,6782299.48
30714,7728015.64
30715,4067700.16
30716,10249369.04
30717,7034046.06
30718,13819390.95
30719,12197258.98
30720,7382233.03
30721,5055005.10
30722,7743271.61
30723,5867672.55
30724,12318321.35
30725,7012705.99
30726,11672435.00
30727,9923635.99
30728,13895821.32
30729,3946333.89
30730,6327173.81
30731,6507278.46
30732,5948869.55
30733,10670275.28
30734,6775128.62
30735,5964368.38
30736,6033992.07
30737,6839345.89
30738,6767863.42
30739,4477367.69
30740,7208301.21
30741,10570707.69
30742,4517640.13
30743,5147790.38
30744,10151921.45
30745,8288803.56
30746,5964368.38
30747,15899274.98
30748,16272661.25
30749,6180814.19
30750,6758609.13
30751,4109234.71
30752,7461826.50
30753,11157788.75
30754,6372732.72
30755,5061538.43
30756,9111152.90
30757,5324786.36
30758,10967368.65
30759,6655750.25
30760,5072538.56
30761,9932606.96
30762,7038172.21
30763,11988185.21
30764,5793944.69
30765,5741825.25
30766,3781864.14
30767,10644404.29
30768,5188358.75
30769,7596125.21
30770,5793944.69
30771,3189662.81
30772,8666752.20
30773,8224283.93
30774,5653706.70
30775,12020884.15
30776,6383597.66
30777,5840002.22
30778,9365180.70
30779,7045485.61
30780,8705546.20
30781,6826815.31
30782,6161014.65
30783,5188763.67
30784,3917623.31
30785,5800591.21
30786,4590658.04
30787,6580296.38
30788,5339357.88
30789,8133991.38
30790,7501583.26
30791,10136311.87
30792,7022091.82
30793,12518764.83
30794,15582784.62
30795,10420112.58
30796,12249708.46
30797,15354290.80
30798,3071642.71
30799,11264393.75
30800,15624118.97
30801,6709054.44
30802,15845147.14
30803,4182781.93
30804,4248098.85
30805,14610799.27
30806,6817632.49
30807,6588934.28
30808,10703579.63
30809,5347651.99
30810,12168967.04
30811,4564368.17
30812,5819224.75
30813,5783569.77
30814,3080951.36
30815,5238224.83
30816,9438121.13
30817,2343554.34
30818,7638089.92
30819,9182165.11
30820,5424692.91
