id,price_doc
30474,5756297.00
30475,8592417.00
30476,5872788.00
30477,6153985.50
30478,5353383.00
30479,8545409.00
30480,4386547.00
30481,4744909.00
30482,5408512.00
30483,4988338.00
30484,6530310.00
30485,5337154.50
30486,4633907.00
30487,5140162.00
30488,5571628.50
30489,5665645.50
30490,24661556.00
30491,22978944.00
30492,6394977.50
30493,18330088.00
30494,7374562.00
30495,11969141.00
30496,9707792.00
30497,9533404.00
30498,6233575.00
30499,8425196.00
30500,11692915.00
30501,8417548.00
30502,3945988.00
30503,6576678.50
30504,5751678.50
30505,11145587.00
30506,3071595.25
30507,5226945.00
30508,5968908.50
30509,8193286.00
30510,9371312.00
30511,7919108.00
30512,6825621.00
30513,4390763.50
30514,2885417.75
30515,9160510.00
30516,5708807.00
30517,10325972.00
30518,7196741.50
30519,5630014.00
30520,7038133.00
30521,6559559.00
30522,7782682.00
30523,7712159.00
30524,10877882.00
30525,7868582.00
30526,5227880.00
30527,5551536.50
30528,6308979.00
30529,6553584.00
30530,6493342.50
30531,14177624.00
30532,4962108.50
30533,13759763.00
30534,7360648.00
30535,9267891.00
30536,5507225.50
30537,10428900.00
30538,5999269.00
30539,10449108.00
30540,9356306.00
30541,8599254.00
30542,2484743.75
30543,5561752.00
30544,8205984.00
30545,9731937.00
30546,4779800.00
30547,11262008.00
30548,4844096.50
30549,5244974.50
30550,10577518.00
30551,5399262.00
30552,2476842.00
30553,8435137.00
30554,12398076.00
30555,6590153.50
30556,8372191.00
30557,9955768.00
30558,8457436.00
30559,7605351.50
30560,6426128.50
30561,7385112.50
30562,12821626.00
30563,5763568.00
30564,7796592.00
30565,7491274.00
30566,6875369.00
30567,2487803.25
30568,11736740.00
30569,8711740.00
30570,6748625.00
30571,7933786.00
30572,5260215.00
30573,6538310.00
30574,7125389.00
30575,10352845.00
30576,6006248.50
30577,5801327.50
30578,3097069.25
30579,7511657.00
30580,6174551.00
30581,6405341.00
30582,10763004.00
30583,7386469.00
30584,5556951.50
30585,4881134.50
30586,10105632.00
30587,5830584.50
30588,8237101.50
30589,8854432.00
30590,13002188.00
30591,6223794.50
30592,8826956.00
30593,9712948.00
