id,price_doc
30474,5546415.00
30475,8692826.00
30476,5718079.50
30477,6186291.00
30478,5402433.00
30479,8770521.00
30480,3755831.75
30481,4922126.50
30482,5464379.00
30483,5219245.00
30484,6637870.00
30485,5388213.00
30486,4718509.50
30487,5438425.00
30488,5625787.00
30489,6067875.50
30490,22237340.00
30491,19950900.00
30492,6429827.00
30493,17847342.00
30494,7555304.50
30495,12421882.00
30496,9481935.00
30497,8076344.00
30498,5597315.00
30499,9646617.00
30500,10889796.00
30501,7441657.50
30502,3873568.50
30503,5975396.00
30504,5254903.00
30505,10034751.00
30506,4093826.50
30507,5191685.00
30508,5166724.50
30509,7605942.50
30510,9849256.00
30511,8108038.00
30512,6666589.50
30513,3760856.25
30514,3979822.75
30515,9573446.00
30516,5696276.00
30517,10889422.00
30518,7382883.50
30519,5424893.00
30520,6631976.00
30521,6382053.00
30522,7393593.00
30523,6531463.00
30524,9886130.00
30525,7100458.00
30526,5211369.00
30527,5516490.50
30528,5818300.00
30529,6139928.50
30530,5648641.00
30531,14448273.00
30532,5187323.50
30533,11246403.00
30534,7522450.00
30535,9710572.00
30536,5762241.00
30537,10895659.00
30538,6008363.00
30539,9317231.00
30540,9845214.00
30541,7654914.50
30542,3675339.25
30543,4940699.00
30544,8189061.50
30545,10217376.00
30546,4898616.00
30547,11816254.00
30548,5079681.00
30549,5487332.00
30550,9785724.00
30551,5309808.50
30552,3668627.25
30553,8210379.00
30554,10910428.00
30555,5785776.50
30556,8544412.00
30557,9025838.00
30558,8094821.00
30559,7114731.00
30560,6186369.50
30561,7331706.00
30562,13632173.00
30563,5251704.00
30564,7804801.00
30565,7205326.00
30566,7037818.50
30567,3677828.75
30568,10240110.00
30569,9136099.00
30570,5901950.00
30571,7978238.50
30572,5232327.50
30573,6654772.00
30574,6321071.50
30575,8229617.50
30576,5954270.00
30577,5570330.50
30578,4114277.75
30579,7713652.50
30580,5806517.50
30581,5886155.00
30582,10604406.00
30583,7531847.50
30584,5110185.00
30585,4768402.00
30586,8965150.00
30587,6024365.00
30588,7821587.50
30589,8245580.50
30590,11935921.00
30591,5908628.50
30592,8331571.50
30593,9506319.00
30594,8646992.00
30595,5988889.50
30596,5833065.50
30597,6647115.00
30598,9961264.00
30599,13613112.00
30600,6746698.50
30601,6180648.00
30602,3674717.50
30603,12536276.00
