Id,SalePrice
1461,134774.97
1462,159356.72
1463,192920.91
1464,200445.33
1465,151431.86
1466,187893.02
1467,179978.19
1468,189032.72
1469,174795.69
1470,140488.56
1471,198472.47
1472,133683.25
1473,129838.72
1474,162316.33
1475,108370.97
1476,386415.88
1477,251121.78
1478,263995.00
1479,299162.88
1480,372300.50
1481,298033.94
1482,198942.25
1483,171680.78
1484,154242.62
1485,173954.09
1486,196582.45
1487,332983.94
1488,230691.78
1489,173245.31
1490,211308.02
1491,192479.52
1492,120370.97
1493,201211.31
1494,298963.81
1495,280986.78
1496,219815.53
1497,154119.12
1498,147704.36
1499,148689.41
1500,148712.08
1501,157481.81
1502,146260.72
1503,259165.70
1504,218509.77
1505,215689.69
1506,167892.50
1507,251751.41
1508,242109.59
1509,152777.86
1510,151982.97
1511,149814.66
1512,162389.50
1513,152553.28
1514,160295.80
1515,248934.22
1516,143156.72
1517,155999.27
1518,148885.50
1519,190996.00
1520,131368.81
1521,138129.19
1522,159499.95
1523,126141.70
1524,120132.78
1525,121398.18
1526,122673.09
1527,114018.11
1528,145444.75
1529,142406.80
1530,162922.97
1531,150528.89
1532,117451.53
1533,138073.27
1534,129194.22
1535,151932.84
1536,123461.77
1537,138067.19
1538,149942.77
1539,144858.66
1540,104759.66
1541,142170.16
1542,149503.81
1543,173559.78
1544,107960.31
1545,117053.33
1546,141689.12
1547,146697.77
1548,140096.97
1549,136077.31
1550,145809.47
1551,122316.09
1552,155313.73
1553,145378.94
1554,101149.86
1555,173560.84
1556,126662.52
1557,131122.97
1558,116104.71
1559,134493.84
1560,141612.45
1561,156235.70
1562,133980.28
1563,130945.33
1564,155353.14
1565,162947.77
1566,208689.34
1567,118551.75
1568,231985.69
1569,151423.84
1570,137452.73
1571,135717.47
1572,149831.95
1573,166415.39
1574,138004.41
1575,203767.55
1576,251618.91
1577,154693.52
1578,146645.70
1579,147653.00
1580,195771.34
1581,153556.09
1582,128517.48
1583,295509.69
1584,230324.72
1585,139014.61
1586,114447.94
1587,109824.31
1588,149135.09
1589,112446.65
1590,136031.77
1591,99783.11
1592,128151.11
1593,124550.23
1594,118660.52
1595,118666.85
1596,232703.03
1597,189150.98
1598,172650.97
1599,155545.25
1600,164475.02
1601,110553.22
1602,108169.34
1603,111851.56
1604,258395.27
1605,255185.36
1606,174747.12
1607,182576.45
1608,238276.09
1609,155846.22
1610,163669.91
1611,150864.70
1612,158920.94
1613,185761.92
1614,139457.67
1615,122222.27
1616,101786.28
1617,127489.36
1618,133212.55
1619,147215.25
1620,243226.19
1621,147467.12
1622,155415.48
1623,237128.19
1624,212328.55
1625,126087.41
1626,172297.91
1627,199141.06
1628,245967.03
1629,172470.98
1630,250233.23
1631,198176.72
1632,250934.70
1633,169406.23
1634,184884.14
1635,186502.45
1636,141088.73
1637,183466.06
1638,202094.17
1639,182120.45
1640,257703.97
1641,182589.69
1642,210899.27
1643,225186.66
1644,208039.28
1645,185725.20
1646,156154.78
1647,157208.38
1648,150682.52
1649,134744.05
1650,141914.64
1651,144227.44
1652,124283.28
1653,125641.36
1654,164254.09
1655,140537.80
1656,160431.56
1657,165243.91
1658,157966.44
1659,131340.83
1660,156457.41
1661,346845.16
1662,325802.25
1663,322518.84
1664,259639.38
1665,281361.06
1666,295160.88
1667,290868.78
1668,324000.16
1669,265886.09
1670,297138.41
1671,251626.72
1672,361212.56
1673,294161.16
1674,278604.50
1675,197150.39
1676,206907.50
1677,197965.55
1678,295324.12
1679,331293.00
1680,259941.45
1681,216677.91
1682,297344.72
1683,153217.27
1684,189875.25
1685,190268.25
1686,146323.56
1687,168836.14
1688,197290.38
1689,194428.50
1690,190948.38
1691,183258.88
1692,239898.89
1693,168539.80
1694,193859.81
1695,155256.67
1696,282061.12
1697,167843.33
1698,326560.88
1699,298285.62
1700,237037.09
1701,250963.78
1702,280783.19
1703,281922.69
1704,291295.28
1705,221550.02
1706,284725.53
1707,198358.17
1708,198132.22
1709,288121.06
1710,218282.36
1711,236194.66
1712,251682.95
1713,281738.56
1714,224747.72
1715,198570.91
1716,186012.25
1717,155813.77
1718,134987.69
1719,198277.38
1720,266271.78
1721,177153.17
1722,137091.94
1723,173336.77
1724,210032.22
1725,214174.14
1726,149136.09
1727,147100.38
1728,158312.86
1729,159182.55
1730,165431.53
1731,130823.91
1732,134145.66
1733,136048.22
1734,138119.16
1735,134479.81
1736,119752.50
1737,292819.38
1738,215523.16
1739,314104.62
1740,219365.16
1741,203497.72
1742,154864.05
1743,166935.34
1744,287610.28
1745,203177.39
1746,177724.69
1747,250740.34
1748,227127.92
1749,165152.00
1750,134841.56
1751,228572.00
1752,126704.57
1753,167776.19
1754,235514.53
1755,159246.66
1756,135533.47
1757,120270.89
1758,158050.53
1759,189346.17
1760,189990.94
1761,167676.17
1762,186779.52
1763,155619.62
1764,121334.80
1765,166183.45
1766,187254.48
1767,222728.47
1768,138152.39
1769,151602.25
1770,147380.73
1771,127741.27
1772,137774.38
1773,146843.55
1774,113030.93
1775,126722.75
1776,124139.50
1777,112090.23
1778,132947.70
1779,110460.81
1780,152247.81
1781,131151.81
1782,113565.33
1783,142377.27
1784,113933.47
1785,97433.07
1786,166743.61
1787,129615.45
1788,104107.28
1789,119875.80
1790,116576.33
1791,242180.88
1792,134668.84
1793,147941.94
1794,140997.16
1795,128912.44
1796,116720.11
1797,130849.70
1798,120536.23
1799,114971.61
1800,122430.78
1801,149039.78
1802,143090.58
1803,150595.80
1804,142886.09
1805,135130.16
1806,132132.69
1807,148436.84
1808,136270.20
1809,124752.41
1810,147084.69
1811,124204.82
1812,110275.22
1813,138051.30
1814,115300.53
1815,74461.65
1816,119427.18
1817,138195.39
1818,130022.33
1819,127722.46
1820,87873.36
1821,108077.37
1822,124126.73
1823,96720.52
1824,126351.63
1825,147454.25
1826,100597.52
1827,109116.88
1828,132643.41
1829,138536.45
1830,136505.19
1831,117975.43
1832,142671.11
1833,133582.06
1834,136451.20
1835,186140.12
1836,119223.16
1837,105293.85
1838,129218.72
1839,115688.41
1840,149817.41
1841,144789.06
1842,127692.27
1843,148956.34
1844,138274.62
1845,152386.16
1846,147407.39
1847,160030.03
1848,72744.67
1849,127865.64
1850,124634.57
1851,146608.28
1852,139466.66
1853,140754.22
1854,153858.09
1855,151373.42
1856,220769.92
1857,158549.67
1858,126688.45
1859,121992.10
1860,190183.64
1861,121882.78
1862,293621.84
1863,283629.16
1864,283660.12
1865,335605.88
1866,319617.19
1867,254172.88
1868,265428.91
1869,190910.97
1870,229329.22
1871,272621.53
1872,193369.06
1873,239285.69
1874,142519.81
1875,209051.45
1876,201357.38
1877,210736.47
1878,209389.66
